,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,bounce_ratio,avg_visit_time,avg_visit_pages,trans_count,trans_ratio,visitor,date
75,4,0.26,2,2,2,100,2,0.0,790,2.0,--,--,new,2019/06/04
76,4,0.26,4,4,4,100,1,100.0,120,1.0,--,--,new,2019/12/21
77,4,0.26,1,1,1,100,1,0.0,423,4.0,--,--,new,2019/10/07
78,3,0.2,1,1,1,100,1,0.0,36,3.0,--,--,new,2019/03/01
79,3,0.2,3,3,3,100,3,100.0,120,1.0,--,--,new,2019/06/17
80,3,0.2,3,3,3,100,3,100.0,4,1.0,--,--,new,2020/03/02
81,3,0.2,2,2,2,100,2,50.0,777,1.5,--,--,new,2020/03/04
82,3,0.2,1,1,1,100,1,0.0,41,3.0,--,--,new,2019/05/31
83,3,0.2,1,1,1,100,1,0.0,58,3.0,--,--,new,2020/01/15
84,3,0.2,3,3,3,100,3,100.0,120,1.0,--,--,new,2019/06/15
85,3,0.2,1,1,1,100,1,0.0,302,3.0,--,--,new,2019/07/19
86,3,0.2,1,1,1,100,1,0.0,972,3.0,--,--,new,2020/02/26
87,3,0.2,3,3,3,100,1,100.0,120,1.0,--,--,new,2019/11/01
88,3,0.2,1,1,1,100,1,0.0,84,3.0,--,--,new,2020/03/31
89,3,0.2,3,3,3,100,2,100.0,83,1.0,--,--,new,2019/12/17
90,3,0.2,1,1,1,100,1,0.0,611,3.0,--,--,new,2019/10/06
91,3,0.2,3,3,3,100,3,100.0,83,1.0,--,--,new,2019/08/09
92,3,0.2,1,1,1,100,1,0.0,24,3.0,--,--,new,2019/10/04
93,2,0.13,1,1,1,100,1,0.0,74,2.0,--,--,new,2019/06/09
94,2,0.13,2,2,2,100,2,100.0,4,1.0,--,--,new,2020/03/10
95,2,0.13,2,2,2,100,2,100.0,120,1.0,--,--,new,2019/06/16
96,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2019/12/27
97,2,0.13,1,1,1,100,1,0.0,1395,2.0,--,--,new,2019/08/01
98,2,0.13,1,1,1,100,1,0.0,275,2.0,--,--,new,2019/08/10
99,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2019/12/14
