,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,avg_visit_time,avg_visit_pages,date,anno_number,disease_number,genedesc_number
205,71,0.5,8,5,0,0,5,1044,8.88,2020-01-06,1488,228,754
206,70,0.49,9,5,0,0,5,538,7.78,2019-09-19,1482,228,753
207,68,0.48,5,5,0,0,5,2909,13.6,2019-06-12,1367,228,729
208,68,0.48,5,4,0,0,4,1594,13.6,2019-07-23,1389,228,739
209,67,0.47,5,3,0,0,3,1614,13.4,2019-10-16,1485,228,754
210,67,0.47,6,2,0,0,2,1847,11.17,2019-10-26,1485,228,754
211,67,0.47,8,5,0,0,5,184,8.38,2019-10-21,1485,228,754
212,67,0.47,5,2,0,0,2,1763,13.4,2019-10-18,1485,228,754
213,67,0.47,4,3,0,0,3,906,16.75,2019-08-09,1464,228,743
214,67,0.47,5,5,0,0,5,1608,13.4,2019-09-12,1474,228,753
215,66,0.46,4,3,0,0,3,1778,16.5,2019-05-31,1359,228,729
216,66,0.46,8,3,0,0,3,391,8.25,2019-12-27,1486,228,754
217,66,0.46,3,3,0,0,3,968,22.0,2019-05-07,1350,228,717
218,64,0.45,3,3,0,0,3,2882,21.33,2019-05-08,1350,228,717
219,64,0.45,7,1,0,0,1,2149,9.14,2020-03-20,1499,228,754
220,63,0.44,7,3,0,0,3,994,9.0,2019-11-08,1485,228,754
221,63,0.44,3,2,0,0,2,2635,21.0,2019-04-26,1346,228,715
222,62,0.44,2,1,0,0,1,5740,31.0,2019-04-18,1330,228,711
223,62,0.44,10,6,0,0,6,1011,6.2,2019-11-29,1486,228,754
224,61,0.43,6,3,0,0,3,2234,10.17,2020-03-24,1499,228,754
225,61,0.43,5,3,0,0,3,794,12.2,2019-05-04,1349,228,717
226,60,0.42,2,1,0,0,1,3152,30.0,2019-12-22,1486,228,754
227,60,0.42,7,1,0,0,1,1652,8.57,2020-03-25,1499,228,754
228,60,0.42,6,3,0,0,4,1056,10.0,2019-12-04,1486,228,754
229,59,0.41,6,3,0,0,3,1494,9.83,2019-10-12,1485,228,753
230,59,0.41,7,4,0,0,4,707,8.43,2019-10-08,1485,228,753
231,58,0.41,2,2,0,0,2,3599,29.0,2019-11-07,1485,228,754
232,58,0.41,6,3,0,0,3,885,9.67,2019-10-30,1485,228,754
233,58,0.41,2,1,0,0,1,1488,29.0,2019-03-27,1286,228,703
234,58,0.41,6,4,0,0,4,808,9.67,2019-08-28,1471,228,751
235,58,0.41,5,3,0,0,3,1598,11.6,2019-04-08,1305,228,707
236,57,0.4,5,3,0,0,4,1774,11.4,2019-12-13,1486,228,754
237,57,0.4,4,3,0,0,3,1818,14.25,2019-07-19,1389,228,739
238,56,0.39,6,3,0,0,3,1304,9.33,2019-11-11,1486,228,754
239,56,0.39,3,1,0,0,1,6219,18.67,2020-03-17,1499,228,754
240,55,0.39,2,2,0,0,2,2306,27.5,2019-05-17,1358,228,719
241,54,0.38,4,2,0,0,1,2274,13.5,2019-05-22,1358,228,720
242,54,0.38,6,4,0,0,5,950,9.0,2019-09-27,1485,228,753
243,53,0.37,5,5,0,0,5,741,10.6,2019-08-15,1466,228,745
244,52,0.37,9,6,0,0,7,1067,5.78,2019-03-12,1283,228,703
245,52,0.37,4,3,0,0,3,1998,13.0,2019-11-25,1486,228,754
246,52,0.37,6,4,0,0,4,1182,8.67,2019-07-31,1454,228,739
247,52,0.37,11,4,0,0,2,553,4.73,2020-02-25,1493,228,754
248,51,0.36,4,3,0,0,3,1342,12.75,2019-07-17,1389,228,738
249,51,0.36,4,2,0,0,2,2894,12.75,2019-10-31,1485,228,754
250,51,0.36,13,5,0,0,5,588,3.92,2019-03-11,1283,228,703
251,50,0.35,2,2,0,0,2,5106,25.0,2019-04-25,1343,228,715
252,50,0.35,7,4,0,0,4,465,7.14,2019-12-24,1486,228,754
253,49,0.34,5,3,0,0,3,1824,9.8,2019-09-05,1473,228,753
254,49,0.34,4,2,0,0,2,2340,12.25,2020-03-21,1499,228,754
255,48,0.34,7,4,0,0,4,1035,6.86,2019-09-07,1474,228,753
256,47,0.33,2,2,0,0,2,3365,23.5,2020-02-24,1492,228,754
257,47,0.33,6,3,0,0,3,1341,7.83,2020-01-02,1486,228,754
258,47,0.33,7,4,0,0,4,317,6.71,2019-10-28,1485,228,754
259,47,0.33,12,5,0,0,5,832,3.92,2019-11-28,1486,228,754
260,46,0.32,2,1,0,0,1,3426,23.0,2019-12-21,1486,228,754
261,46,0.32,9,4,0,0,3,1492,5.11,2019-05-26,1358,228,720
262,46,0.32,6,4,0,0,4,1021,7.67,2020-03-30,1499,228,754
263,45,0.32,3,2,0,0,2,4566,15.0,2019-04-04,1303,228,707
264,45,0.32,5,2,0,0,2,1552,9.0,2020-03-12,1493,228,754
265,45,0.32,5,4,0,0,5,1445,9.0,2019-09-09,1474,228,753
266,45,0.32,3,2,0,0,2,1734,15.0,2020-03-22,1499,228,754
267,43,0.3,5,3,0,0,3,512,8.6,2019-08-24,1471,228,746
268,43,0.3,9,5,0,0,4,617,4.78,2020-03-26,1499,228,754
269,43,0.3,2,1,0,0,1,3118,21.5,2019-04-22,1343,228,715
270,43,0.3,6,3,0,0,2,1786,7.17,2019-05-23,1358,228,720
271,42,0.3,5,5,0,0,5,640,8.4,2019-07-25,1390,228,739
272,42,0.3,8,5,0,0,5,886,5.25,2019-08-26,1471,228,746
273,41,0.29,7,2,0,0,2,883,5.86,2019-11-05,1485,228,754
274,41,0.29,6,6,0,0,6,749,6.83,2020-01-08,1488,228,754
275,40,0.28,4,3,0,0,2,2633,10.0,2019-05-28,1358,228,722
276,40,0.28,7,3,0,0,3,996,5.71,2019-06-05,1362,228,729
277,39,0.27,5,3,0,0,3,535,7.8,2020-01-22,1489,228,754
278,39,0.27,6,3,0,0,3,724,6.5,2019-08-30,1471,228,751
279,39,0.27,4,1,0,0,1,981,9.75,2019-07-07,1387,228,737
280,39,0.27,1,1,0,0,1,6867,39.0,2019-09-08,1474,228,753
281,39,0.27,7,3,0,0,3,413,5.57,2019-08-01,1454,228,739
282,39,0.27,7,4,0,0,4,1144,5.57,2019-06-04,1360,228,729
283,39,0.27,5,1,0,0,1,2254,7.8,2020-03-19,1499,228,754
284,38,0.27,3,3,0,0,3,1315,12.67,2019-12-16,1486,228,754
285,38,0.27,6,2,0,0,2,1298,6.33,2019-08-05,1459,228,739
286,37,0.26,1,1,0,0,1,5212,37.0,2019-04-19,1335,228,712
287,37,0.26,4,2,0,0,2,317,9.25,2019-11-21,1486,228,754
288,37,0.26,7,5,0,0,5,956,5.29,2019-06-15,1380,228,730
289,36,0.25,2,2,0,0,2,2110,18.0,2019-03-26,1286,228,703
290,36,0.25,5,2,0,0,2,786,7.2,2019-07-14,1389,228,738
291,35,0.25,6,3,0,0,3,746,5.83,2019-12-10,1486,228,754
